RMSM.cat,RMSM.Nme,BType1,BType2,Btype description,Substrate1,Substrate2
2,Mixed,2,b,"Soft surface, overlaying hard substrate",0,1
2,Mixed,2,b,"Soft surface, overlaying hard substrate",0,2
1,Rock,1,b,Bedrock dominant,0,3
2,Mixed,2,b,"Soft surface, overlaying hard substrate",0,4
2,Mixed,2,b,"Soft surface, overlaying hard substrate",0,5
2,Mixed,2,b,"Soft surface, overlaying hard substrate",0,6
3,Sand,3,a,Sand/shell,0,7
4,Mud,3,b,Mud,0,9
2,Mixed,2,a,"Soft surface, patchy large particles",0,8
3,Sand,3,a,Sand/shell,0,10
2,Mixed,2,b,"Soft surface, overlaying hard substrate",0,11
4,Mud,3,b,Mud,0,NA
1,Rock,1,a,Bedrock dominant,1,0
1,Rock,1,a,Bedrock dominant,1,1
1,Rock,1,a,Bedrock dominant,1,2
1,Rock,1,a,Bedrock dominant,1,3
1,Rock,1,a,Bedrock dominant,1,4
1,Rock,1,a,Bedrock dominant,1,5
1,Rock,1,a,Bedrock dominant,1,6
1,Rock,1,a,Bedrock dominant,1,7
1,Rock,1,a,Bedrock dominant,1,8
1,Rock,1,a,Bedrock dominant,1,9
1,Rock,1,a,Bedrock dominant,1,10
1,Rock,1,a,Bedrock dominant,1,11
1,Rock,1,a,Bedrock dominant,1,NA
1,Rock,1,a,Bedrock dominant,2,0
1,Rock,1,a,Bedrock dominant,2,1
1,Rock,1,a,Bedrock dominant,2,2
1,Rock,1,b,Bedrock dominant,2,3
1,Rock,1,b,Bedrock dominant,2,4
1,Rock,1,a,Bedrock dominant,2,5
1,Rock,1,a,Bedrock dominant,2,6
1,Rock,1,a,Bedrock dominant,2,7
1,Rock,1,a,Bedrock dominant,2,8
1,Rock,1,a,Bedrock dominant,2,9
1,Rock,1,a,Bedrock dominant,2,10
1,Rock,1,a,Bedrock dominant,2,11
1,Rock,1,a,Bedrock dominant,2,NA
1,Rock,1,b,Bedrock dominant,3,0
1,Rock,1,b,Bedrock dominant,3,1
1,Rock,1,b,Bedrock dominant,3,2
1,Rock,1,b,Bedrock dominant,3,3
1,Rock,1,b,Bedrock dominant,3,4
1,Rock,1,b,Bedrock dominant,3,5
1,Rock,1,b,Bedrock dominant,3,6
1,Rock,1,b,Bedrock dominant,3,7
1,Rock,1,b,Bedrock dominant,3,8
1,Rock,1,b,Bedrock dominant,3,9
1,Rock,1,b,Bedrock dominant,3,10
1,Rock,1,b,Bedrock dominant,3,11
1,Rock,1,b,Bedrock dominant,3,NA
2,Mixed,2,a,"Soft surface, patchy large particles",4,0
1,Rock,1,b,Bedrock dominant,4,1
1,Rock,1,b,Bedrock dominant,4,2
1,Rock,1,b,Bedrock dominant,4,3
1,Rock,1,b,Bedrock dominant,4,4
1,Rock,1,b,Bedrock dominant,4,5
1,Rock,1,b,Bedrock dominant,4,6
2,Mixed,2,a,"Soft surface, patchy large particles",4,7
2,Mixed,2,a,"Soft surface, patchy large particles",4,8
2,Mixed,2,a,"Soft surface, patchy large particles",4,9
2,Mixed,2,a,"Soft surface, patchy large particles",4,10
2,Mixed,2,a,"Soft surface, patchy large particles",4,11
1,Rock,1,b,Bedrock dominant,4,NA
2,Mixed,2,a,"Soft surface, patchy large particles",5,0
1,Rock,1,b,Bedrock dominant,5,1
1,Rock,1,b,Bedrock dominant,5,2
1,Rock,1,b,Bedrock dominant,5,3
1,Rock,1,b,Bedrock dominant,5,4
2,Mixed,2,a,"Soft surface, patchy large particles",5,5
2,Mixed,2,a,"Soft surface, patchy large particles",5,6
2,Mixed,2,a,"Soft surface, patchy large particles",5,7
2,Mixed,2,a,"Soft surface, patchy large particles",5,8
2,Mixed,2,a,"Soft surface, patchy large particles",5,9
2,Mixed,2,a,"Soft surface, patchy large particles",5,10
2,Mixed,2,a,"Soft surface, patchy large particles",5,11
2,Mixed,2,a,"Soft surface, patchy large particles",5,NA
2,Mixed,2,a,"Soft surface, patchy large particles",6,0
1,Rock,1,b,Bedrock dominant,6,1
